RIL	Color	Leaves	Date	Harvest_Day	Rhizosphere	Soil_Before	PDW
y219	Y	5	4/20/19	3.00	4.345	238.63	0.4145
y222	Y	5	4/17/19	0.00	3.5	238.15	0.3118
y223	Y	5.5	4/18/19	1.00	3.881	235.6	0.3082
y225	Y	6	4/17/19	0.00	4.186	237.85	0.2353
y226	Y	4	5/7/19	20.00	4.105	243.32	0.6429
y227	Y	5.5	4/18/19	1.00	4.222	235.66	0.2959
y228	Y	4.5	4/20/19	3.00	3.61	241.08	0.4307
y229	Y	5	4/20/19	3.00	3.767	241.56	0.3976
y230	Y	5.5	4/19/19	2.00	3.358	242.58	0.227
y231	Y	5.5	4/17/19	0.00	3.645	237.68	0.2513
y233	Y	4.5	4/20/19	3.00	3.52	238.31	0.5242
y234	Y	4.5	4/20/19	3.00	4.2	240.32	0.4886
y235	Y	4.5	4/20/19	3.00	4.549	241.51	0.5111
y236	Y	5.5	4/18/19	1.00	3.05	235.69	0.3041
y237	Y	4.5	4/20/19	3.00	3.509	242.38	0.392
y238	Y	5	4/19/19	2.00	3.861	240.66	0.3527
y240	Y	6.5	4/17/19	0.00	3	234.75	0.2869
y241	Y	5.5	4/18/19	1.00	3.964	234.67	0.294
y242	Y	5	4/20/19	3.00	3.75	238.88	0.4606
y243	Y	5.5	4/18/19	1.00	4.303	235.39	0.2645
y244	Y	4.5	4/20/19	3.00	3.83	240.58	0.3682
y245	Y	5.5	4/18/19	1.00	4.025	234.85	0.2769
y246	Y	5.5	4/17/19	0.00	3.22	240.7	0.1785
y247	Y	5.5	4/17/19	0.00	4.1	238.09	0.3518
y248	Y	5.5	4/18/19	1.00	3.75	234.54	0.3477
y249	Y	4	4/20/19	3.00	3.808	242.26	0.3472
y250	Y	5	4/19/19	2.00	3.942	240.01	0.3708
y252	Y	5	4/20/19	3.00	3.199	241.63	0.3509
y253	Y	2.5	5/7/19	20.00	3.15	250.82	0.571
y254	Y	6	4/17/19	0.00	3.929	235.02	0.2811
y255	Y	4.5	4/20/19	3.00	3.841	239.43	0.383
y256	Y	5.5	4/18/19	1.00	3.737	237.41	0.2654
y257	Y	4.5	4/19/19	2.00	3.558	242.9	0.2038
y258	Y	5	4/19/19	2.00	3.67	240.69	0.2906
y259	Y	2	5/7/19	20.00	3	237.1	0.4362
y260	Y	5.5	4/19/19	2.00	3.716	242.69	0.3254
y261	Y	5.5	4/18/19	1.00	3.016	234.4	0.3997
y262	Y	6	4/17/19	0.00	3.529	236.17	0.3187
y263	Y	5.5	4/18/19	1.00	3.263	233.03	0.4026
y264	Y	5	4/19/19	2.00	4.099	237.4	0.3528
y265	Y	4.5	4/20/19	3.00	3.68	241.94	0.2857
y266	Y	5	4/20/19	3.00	4.138	240.56	0.362
y267	Y	4.5	4/19/19	2.00	4.201	237.37	0.3411
y268	Y	4.5	4/19/19	2.00	3.73	241.12	0.3087
y270	Y	6.5	4/17/19	0.00	4.13	235.19	0.3275
y271	Y	5.5	4/17/19	0.00	3.9	237.11	0.2967
y272	Y	5.5	4/18/19	1.00	3.365	235.64	0.259
y273	Y	5.5	4/18/19	1.00	3.644	232.94	0.3403
y274	Y	5	4/19/19	2.00	4.052	238.11	0.3486
y275	Y	2	5/7/19	20.00	3.192	251.98	0.5281
y277	Y	5.5	4/18/19	1.00	3.88	236.96	0.3651
y278	Y	6.5	4/17/19	0.00	3.35	236.46	0.2961
y280	Y	5.5	4/18/19	1.00	4.186	234.67	0.4152
y281	Y	5.5	4/18/19	1.00	3.118	235	0.2877
y282	Y	5	4/17/19	0.00	3	236.45	0.3362
y283	Y	4.5	4/19/19	2.00	4.053	244.88	0.4013
y284	Y	4.5	4/19/19	2.00	3.138	243.63	0.27835
y285	Y	5.5	4/18/19	1.00	3.626	235.93	0.4129
y286	Y	4.5	4/19/19	2.00	3.712	239.27	0.2748
y287	Y	4.5	4/17/19	0.00	3.79	239.05	0.3271
y288	Y	4.5	4/20/19	3.00	4.023	241.4	0.3712
y289	Y	5.5	4/18/19	1.00	2.684	235.66	0.3391
y290	Y	5.5	4/18/19	1.00	3.005	237.49	0.3422
y291	Y	5.5	4/18/19	1.00	3.757	233.21	0.2951
y292	Y	5	4/19/19	2.00	3.942	235.34	0.325
y293	Y	5.5	4/19/19	2.00	3.06	235.2	0.3583
y294	Y	4.5	4/19/19	2.00	3.542	238.68	0.3475
y295	Y	5.5	4/18/19	1.00	3.681	236.27	0.3307
y297	Y	5.5	4/18/19	1.00	3.525	232.79	0.3249
y298	Y	5.5	4/18/19	1.00	3.251	236.38	0.3558
y299	Y	4.5	4/19/19	2.00	4.237	238.11	0.4274
y300	Y	5.5	4/18/19	1.00	3.515	235.79	0.3972
y301	Y	6.5	4/17/19	0.00	3.5	234.75	0.3272
y302	Y	5	4/19/19	2.00	3.92	239.47	0.4111
y303	Y	5.5	4/18/19	1.00	2.975	234.83	0.2488
y304	Y	6.5	4/17/19	0.00	4.01	234.47	0.3631
y305	Y	5.5	4/19/19	2.00	4.356	242.09	0.2637
y306	Y	5.5	4/19/19	2.00	3.432	240.06	0.3512
y307	Y	5	4/19/19	2.00	3.489	240.33	0.3699
y276.1	Y	5.5	4/19/19	2.00	3.835	240.96	0.2998
y276.2	Y	5.5	4/18/19	1.00	3.436	237.5	0.2231
y308.1	Y	4.5	4/20/19	3.00	2.888	240.05	0.3539
y308.2	Y	4.5	4/20/19	3.00	3.96	240.79	0.3647
