lodindex	lodcolumn	chr	pos	lod	ci_lo	ci_hi	asv	kingdom	phylum	class	order	family	genus	species	effect	heritability	allele
15	ASV67	11	53.36100313	2.83812642960709	0.37402121	53.97873717	67	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	NA	NA	0.0238462373076438	0.484911190726557	modern
15	ASV67	12	5.18407585	3.40605543036518	4.02678389	57.06998764	67	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	NA	NA	-0.0331018628691858	0.484911190726557	wild
16	ASV68	3	61.92223573	3.74420577436478	0.73820399	64.43413921	68	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	NA	-0.0625042432105844	0.0567135842718406	wild
16	ASV68	8	63.28131429	3.36672624526373	2.13461233	63.69165108	68	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	NA	0.0345300025792446	0.0567135842718406	modern
18	ASV90	11	53.36100313	2.70569332845229	0.37402121	53.97873717	90	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	NA	NA	0.0313639623774218	0.138498744745825	modern
18	ASV90	12	5.17807046	3.6527796966583	3.3161219	57.06998764	90	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	NA	NA	-0.0316322947837984	0.138498744745825	wild
20	ASV100	9	66.73535201	3.40858892229172	0.36313003	68.22003382	100	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Edaphobaculum	NA	0.0258930248755127	2.70145448733917e-09	modern
21	ASV102	8	56.8120707	3.12881546718904	1.27764316	60.30579445	102	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Devosia	riboflavina	0.0628403565909424	0.0320731972798634	modern
22	ASV103	6	1.03361918	3.92347178086803	0.36965459	1.88213469	103	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Luteimonas	NA	0.0233350304495083	2.28822995264864e-08	modern
23	ASV121	9	64.17667455	3.00896456745672	5.09249145	66.44834174	121	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA	0.068152161808729	0.0464465856967603	modern
23	ASV121	12	1.96382623	3.07419333123991	0.299369	66.24284919	121	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA	0.0356922101286565	0.0464465856967603	modern
24	ASV122	3	0.92828378	3.64565917055712	0.28500489	60.22553132	122	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	NA	NA	0.0178931558588076	0.118152478100055	modern
24	ASV122	4	0.34354298	3.36471841835118	0.2816259	64.17886943	122	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	NA	NA	0.0317413054356107	0.118152478100055	modern
24	ASV122	7	2.65243557	3.12631185753866	0.88495003	65.53365573	122	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	NA	NA	-0.0171449958931523	0.118152478100055	wild
24	ASV122	12	3.52196747	3.82151290650499	0.299369	64.84142966	122	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	NA	NA	-0.0272745634776242	0.118152478100055	wild
27	ASV138	11	53.06096826	2.895409504394	0.37402121	53.97873717	138	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA	0.0738916404114356	0.38237800123464	modern
28	ASV142	5	60.78942413	3.20284364393359	10.23735649	62.8753864	142	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Terrimonas	NA	-0.0255106785061355	6.73547303124878e-09	wild
29	ASV149	1	81.98979651	3.77441322891236	81.19662793	83.67701374	149	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	NA	0.0400976836412504	0.0635411035585815	modern
29	ASV149	6	1.07552117	2.777903827087	0.36965459	45.68917456	149	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	NA	0.0413458468823748	0.0635411035585815	modern
29	ASV149	11	51.60112451	3.22422510077246	0.37402121	53.97873717	149	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	NA	0.0319920230147864	0.0635411035585815	modern
30	ASV166	12	0.83828354	3.87232066492567	0.299369	4.72289062	166	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA	0.0596333896196118	0.221678543992336	modern
33	ASV175	10	62.80532186	2.80335657446204	0.33301579	63.87158829	175	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	NA	0.0307367921630082	0.221040419829573	modern
39	ASV210	1	3.4435663	4.78471857336351	1.89365936	70.14916259	210	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	NA	NA	-0.0452089566851005	0.372731717597964	wild
39	ASV210	11	53.97169814	2.98740841446717	0.37402121	53.97873717	210	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	NA	NA	0.0633518553567018	0.372731717597964	modern
44	ASV241	3	0.77184355	2.73839102508471	0.28500489	58.37872622	241	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Aminobacter	NA	-0.0370152507710546	0.361515659240755	wild
47	ASV272	1	70.82332902	3.31551226988898	5.24184323	81.99417387	272	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	NA	NA	NA	0.0597787346290718	9.87978361785602e-09	modern
49	ASV290	4	0.2816259	3.0669003430672	0.2816259	60.09145876	290	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Arenimonas	NA	-0.0555777471214934	0	wild
51	ASV295	5	63.92234826	3.36237129072748	0.52576718	64.99542712	295	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	NA	NA	-0.0457998652328655	0.25196894347337	wild
51	ASV295	10	63.04042095	2.9602506982239	1.2055077	64.38125038	295	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	NA	NA	0.0564378289733944	0.25196894347337	modern
52	ASV297	9	64.07892577	4.00530318256027	2.68641151	64.88581442	297	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	NA	-0.0787067860225506	0.0407134883941935	wild
55	ASV329	5	62.38747958	3.28939308037541	1.31619964	64.21492951	329	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	NA	0.0384114646443566	0.110259811986862	modern
56	ASV343	5	64.99542712	4.03896335441026	64.25456505	64.99542712	343	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	NA	NA	-0.0504623230901088	0.215729595938803	wild
57	ASV355	11	53.88417328	3.53172612508406	1.65993078	53.97873717	355	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Arcticibacter	NA	0.0500547277737936	0	modern
58	ASV379	2	45.37044154	2.74503521120777	34.15509137	51.98417018	379	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	NA	0.0689853775093791	0.186761576816195	modern
62	ASV511	5	6.90389799	2.87645851127137	2.47821677	59.82958338	511	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Edaphobaculum	NA	0.101140100298801	9.10121139770937e-11	modern
63	ASV534	6	35.28941444	3.03836072398695	0.36965459	46.94870661	534	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	NA	-0.0813479034112692	0	wild
64	ASV586	8	1.73565874	3.21979946926382	0.21486091	63.69165108	586	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Qipengyuania	NA	0.166621278506186	1.49144375219349e-10	modern
